ID,NUMBER,NAME,POSITION,HEIGHT,WEIGHT,DATE OF BIRTH,AGE,BIRTH PLACE
1,47,SVEN BAERTSCHI,L,"5-11",190,5 OCT 1992,23,"BERN. CHE"
2,14,ALEXANDRE BURROWS,R,"6-1",188,11 APR 1981,34,"PINCOURT. QC. CAN"
3,24,ADAM CRACKNELL,R,"6-2",210,15 JUL 1985,30,"PRINCE ALBERT. SK. CAN"
4,15,DEREK DORSETT,R,"6-0",192,20 DEC 1986,28,"KINDERSLEY. SK. CAN"
5,36,JANNIK HANSEN,R,"6-1",195,15 MAR 1986,29,"RØDOVRE. DNK"
6,20,CHRIS HIGGINS,L,"6-0",205,2 JUN 1983,32,"SMITHTOWN. NY. USA"
7,53,BO HORVAT,C,"6-0",206,5 APR 1995,20,"LONDON. ON. CAN"
8,91,JARED MCCANN,C,"6-0",179,31 MAY 1996,19,"STRATFORD. ON. CAN"
9,9,BRANDON PRUST,L,"6-0",195,16 MAR 1984,31,"LONDON. ON. CAN"
10,22,DANIEL SEDIN,L,"6-1",187,26 SEP 1980,35,"ORNSKOLDSVIK. SWE"
11,33,HENRIK SEDIN,C,"6-2",188,26 SEP 1980,35,"ORNSKOLDSVIK. SWE"
12,21,BRANDON SUTTER,C,"6-3",190,14 FEB 1989,26,"HUNTINGTON. NY. USA"
13,18,JAKE VIRTANEN,R,"6-1",208,17 AUG 1996,19,"NEW WESTMINSTER. BC. CAN"
14,17,RADIM VRBATA,R,"6-1",194,13 JUN 1981,34,"MLADA BOLESLAV. CZE"
15,44,MATT BARTKOWSKI,D,"6-1",196,4 JUN 1988,27,"PITTSBURGH. PA. USA"
16,23,ALEXANDER EDLER,D,"6-3",215,21 APR 1986,29,"OSTERSUND. SWE"
17,2,DAN HAMHUIS,D,"6-1",209,13 DEC 1982,32,"SMITHERS. BC. CAN"
18,27,BEN HUTTON,D,"6-2",183,20 APR 1993,22,"BROCKVILLE. ON. CAN"
19,5,LUCA SBISA,D,"6-2",198,30 JAN 1990,25,"OZIERI. ITA"
20,8,CHRISTOPHER TANEV,D,"6-2",185,20 DEC 1989,25,"TORONTO. ON. CAN"
21,6,YANNICK WEBER,D,"5-11",200,23 SEP 1988,27,"MORGES. CHE"
22,25,JACOB MARKSTROM,G,"6-6",196,31 JAN 1990,25,"GÄVLE. SWE"
23,30,RYAN MILLER,G,"6-2",168,17 JUL 1980,35,"EAST LANSING. MI. USA"
